num_topics,alpha,beta,u_mass
6,symmetric,0.3,-0.2739429274575628
6,symmetric,0.6,-0.20510091044072995
6,symmetric,1,-0.40783752655651245
6,symmetric,symmetric,-0.20965607818949641
6,asymmetric,0.01,-0.1893856182547676
6,asymmetric,0.3,-0.23434592968167586
6,asymmetric,0.6,-0.2090834751798325
6,asymmetric,1,-0.3332240912589759
6,asymmetric,symmetric,-0.18649452328059535
7,0.01,0.01,-0.21886489959202118
7,0.01,0.3,-0.19774827279994894
7,0.01,0.6,-0.33253618227121856
7,0.01,1,-0.14720907358333793
7,0.01,symmetric,-0.19717519654394697
7,0.3,0.01,-0.21189458240248113
7,0.3,0.3,-0.20597986440237173
7,0.3,0.6,-0.3260019871691709
7,0.3,1,-0.152786589747323
7,0.3,symmetric,-0.21594261089854047
7,0.6,0.01,-0.23139123887766136
7,0.6,0.3,-0.21675371119042788
7,0.6,0.6,-0.3472107786875787
7,0.6,1,-0.1531649809209281
7,0.6,symmetric,-0.23079063400222127
7,1,0.01,-0.2255503231336347
7,1,0.3,-0.23493867903792026
7,1,0.6,-0.27126098149198136
7,1,1,-0.1690576258307943
7,1,symmetric,-0.248371230673939
7,symmetric,0.01,-0.21822076954175218
7,symmetric,0.3,-0.19803759246441535
7,symmetric,0.6,-0.33405798708681633
7,symmetric,1,-0.1526485725600973
7,symmetric,symmetric,-0.2007732147733227
7,asymmetric,0.01,-0.21981167267672852
7,asymmetric,0.3,-0.20015875355606516
7,asymmetric,0.6,-0.32215141312567264
7,asymmetric,1,-0.14551068647256557
7,asymmetric,symmetric,-0.17951660782280984
8,0.01,0.01,-0.23084824838756285
8,0.01,0.3,-0.22173057501311758
8,0.01,0.6,-0.18631325647366076
8,0.01,1,-0.18440025986310452
8,0.01,symmetric,-0.20119490781746557
8,0.3,0.01,-0.2410955928687052
8,0.3,0.3,-0.21446519453316829
8,0.3,0.6,-0.1849037379241953
8,0.3,1,-0.17944296704035917
8,0.3,symmetric,-0.2015953274972765
8,0.6,0.01,-0.2239793014605737
8,0.6,0.3,-0.21386490092829413
8,0.6,0.6,-0.1902071257131862
8,0.6,1,-0.18054850562447466
8,0.6,symmetric,-0.2013980139379797
8,1,0.01,-0.21282325804547944
8,1,0.3,-0.21952885160441105
8,1,0.6,-0.20065082976821572
8,1,1,-0.18933152067295705
8,1,symmetric,-0.22207319892473076
8,symmetric,0.01,-0.2339020597492911
8,symmetric,0.3,-0.21441066317803298
8,symmetric,0.6,-0.17815187821864176
8,symmetric,1,-0.21336178002406947
8,symmetric,symmetric,-0.20098038777638816
8,asymmetric,0.01,-0.23225518094109623
8,asymmetric,0.3,-0.20894688079342882
8,asymmetric,0.6,-0.25862862074183446
8,asymmetric,1,-0.21748672966647364
8,asymmetric,symmetric,-0.20830312213977437
9,0.01,0.01,-0.28518189212315287
9,0.01,0.3,-0.2692069911641333
9,0.01,0.6,-0.2757998509112782
9,0.01,1,-0.17786179751767991
9,0.01,symmetric,-0.2123657201196526
9,0.3,0.01,-0.25421882317654165
9,0.3,0.3,-0.2570672419437172
9,0.3,0.6,-0.2642803594575979
9,0.3,1,-0.1655240948388749
9,0.3,symmetric,-0.2103684035415028
9,0.6,0.01,-0.25880628430247676
9,0.6,0.3,-0.2744781280380275
9,0.6,0.6,-0.23888630419407406
9,0.6,1,-0.16796180416139878
9,0.6,symmetric,-0.2213723998241071
9,1,0.01,-0.2539041444509878
9,1,0.3,-0.30354226770137804
9,1,0.6,-0.19724510879689466
9,1,1,-0.17583351280187884
9,1,symmetric,-0.25839555220528965
9,symmetric,0.01,-0.24967224483393188
9,symmetric,0.3,-0.27142552067016357
9,symmetric,0.6,-0.2807757899609129
9,symmetric,1,-0.15591633812241845
9,symmetric,symmetric,-0.21399211951422661
9,asymmetric,0.01,-0.2537438722111473
9,asymmetric,0.3,-0.2676448748024513
9,asymmetric,0.6,-0.2740737905006334
9,asymmetric,1,-0.15736004989460362
9,asymmetric,symmetric,-0.21608696707033986
10,0.01,0.01,-0.23045476335544351
10,0.01,0.3,-0.2300530819659687
10,0.01,0.6,-0.35062098866627495
10,0.01,1,-0.24710980695758572
10,0.01,symmetric,-0.20566396661969305
10,0.3,0.01,-0.22857018709499055
10,0.3,0.3,-0.226293016746172
10,0.3,0.6,-0.36579754805237213
10,0.3,1,-0.2484227597263784
10,0.3,symmetric,-0.2094705293981126
10,0.6,0.01,-0.23604939129198216
10,0.6,0.3,-0.23518422059433813
10,0.6,0.6,-0.36741947054172674
10,0.6,1,-0.23111098604344912
10,0.6,symmetric,-0.22704158005446745
10,1,0.01,-0.2389092079554862
10,1,0.3,-0.23006889069264838
10,1,0.6,-0.28183201800315927
10,1,1,-0.20685308994521776
10,1,symmetric,-0.2338041682016442
10,symmetric,0.01,-0.2270094267517754
10,symmetric,0.3,-0.2338864321946128
10,symmetric,0.6,-0.35686737438034616
10,symmetric,1,-0.2126541772479141
10,symmetric,symmetric,-0.20623380172632025
10,asymmetric,0.01,-0.21767962081547299
10,asymmetric,0.3,-0.2301218889266002
10,asymmetric,0.6,-0.3985329437087333
10,asymmetric,1,-0.1991431028965363
10,asymmetric,symmetric,-0.19806699498253444
11,0.01,0.01,-0.21044149285993122
11,0.01,0.3,-0.22577116253230034
11,0.01,0.6,-0.20344802493163075
11,0.01,1,-0.20510875757438107
11,0.01,symmetric,-0.20608017754896044
11,0.3,0.01,-0.20555017470652032
11,0.3,0.3,-0.24778636051027048
11,0.3,0.6,-0.19214724072675382
11,0.3,1,-0.18221745793128655
11,0.3,symmetric,-0.20346439778649267
11,0.6,0.01,-0.22741745256936416
11,0.6,0.3,-0.24374766612806187
11,0.6,0.6,-0.21106055382570152
11,0.6,1,-0.17814485176303374
11,0.6,symmetric,-0.21270575385332133
11,1,0.01,-0.23627037862304318
11,1,0.3,-0.24701589443883226
11,1,0.6,-0.2004211374387218
11,1,1,-0.19822917044563473
11,1,symmetric,-0.22232493337245218
11,symmetric,0.01,-0.21447175608602595
11,symmetric,0.3,-0.2327242526846624
11,symmetric,0.6,-0.2003411335944425
11,symmetric,1,-0.18310856044637822
11,symmetric,symmetric,-0.20344963706822686
11,asymmetric,0.01,-0.20293271186583964
11,asymmetric,0.3,-0.23115933708021483
11,asymmetric,0.6,-0.2462700773111533
11,asymmetric,1,-0.18962142933496698
11,asymmetric,symmetric,-0.21442124163225776
12,0.01,0.01,-0.22271270410230895
12,0.01,0.3,-0.2383620115155246
12,0.01,0.6,-0.24998693706181507
12,0.01,1,-0.1756935471112898
12,0.01,symmetric,-0.235638100693921
12,0.3,0.01,-0.22674186593590728
12,0.3,0.3,-0.22883437034466492
12,0.3,0.6,-0.18666804464966255
12,0.3,1,-0.1609303568682224
12,0.3,symmetric,-0.22935785194098415
12,0.6,0.01,-0.22128006142413173
12,0.6,0.3,-0.20618117235655772
12,0.6,0.6,-0.15209580697047842
12,0.6,1,-0.16895551159355113
12,0.6,symmetric,-0.23716158577344848
12,1,0.01,-0.21647332245098938
12,1,0.3,-0.22688504672241003
12,1,0.6,-0.15465255635986622
12,1,1,-0.16097213285206038
12,1,symmetric,-0.26409206416612224
12,symmetric,0.01,-0.22225306877079612
12,symmetric,0.3,-0.25135587087557437
12,symmetric,0.6,-0.24532056039264635
12,symmetric,1,-0.16123248342649274
12,symmetric,symmetric,-0.23520437286134652
12,asymmetric,0.01,-0.20899910403866961
12,asymmetric,0.3,-0.2224390843480868
12,asymmetric,0.6,-0.21110021415370991
12,asymmetric,1,-0.2688087644170706
12,asymmetric,symmetric,-0.23134718799029666
13,0.01,0.01,-0.2311177108308609
13,0.01,0.3,-0.2021311219245356
13,0.01,0.6,-0.20552705638233892
13,0.01,1,-0.1633035437765485
13,0.01,symmetric,-0.22349512029589194
13,0.3,0.01,-0.22846231357182825
13,0.3,0.3,-0.19237022841169057
13,0.3,0.6,-0.22465806164787752
13,0.3,1,-0.15239264359000446
13,0.3,symmetric,-0.218269221913766
13,0.6,0.01,-0.23800014535647518
13,0.6,0.3,-0.2092443145317994
13,0.6,0.6,-0.18862200715390692
13,0.6,1,-0.15519779732395703
13,0.6,symmetric,-0.22298337690473946
13,1,0.01,-0.3029331609151875
13,1,0.3,-0.2056299471149963
13,1,0.6,-0.2293466576322876
13,1,1,-0.19377181131059165
13,1,symmetric,-0.2317766971645815
13,symmetric,0.01,-0.23006321908084523
13,symmetric,0.3,-0.19775550492874153
13,symmetric,0.6,-0.20437421527663674
13,symmetric,1,-0.1730877078960858
13,symmetric,symmetric,-0.22153686696150562
13,asymmetric,0.01,-0.2253184531986498
13,asymmetric,0.3,-0.19789548121722395
13,asymmetric,0.6,-0.2401831769022088
13,asymmetric,1,-0.15258142977525108
13,asymmetric,symmetric,-0.2210387856246823
14,0.01,0.01,-0.270983428523509
14,0.01,0.3,-0.22624379407385567
14,0.01,0.6,-0.15680572968685452
14,0.01,1,-0.16204248924325929
14,0.01,symmetric,-0.2237602068040411
14,0.3,0.01,-0.24222524111175744
14,0.3,0.3,-0.21452732115285472
14,0.3,0.6,-0.17087075352361888
14,0.3,1,-0.17214265314700986
14,0.3,symmetric,-0.2411702266692332
14,0.6,0.01,-0.24872516946988893
14,0.6,0.3,-0.18292150813569868
14,0.6,0.6,-0.21001418525051632
14,0.6,1,-0.15244237549482534
14,0.6,symmetric,-0.24434424586739145
14,1,0.01,-0.23430188399357596
14,1,0.3,-0.23231818542199661
14,1,0.6,-0.16094786456402765
14,1,1,-0.15744722696935978
14,1,symmetric,-0.21936395615338364
14,symmetric,0.01,-0.22941996319896435
14,symmetric,0.3,-0.23163949766718592
14,symmetric,0.6,-0.16155201402159217
14,symmetric,1,-0.16674515509338605
14,symmetric,symmetric,-0.22376458418390818
14,asymmetric,0.01,-0.22754232812843259
14,asymmetric,0.3,-0.26910828759692806
14,asymmetric,0.6,-0.23946534220113838
14,asymmetric,1,-0.1661548609446187
14,asymmetric,symmetric,-0.21279776524832378
15,0.01,0.01,-0.2263546854069526
15,0.01,0.3,-0.23624826292594622
15,0.01,0.6,-0.18461634180491962
15,0.01,1,-0.18987739287209343
15,0.01,symmetric,-0.23892425208740733
15,0.3,0.01,-0.22148305459172682
15,0.3,0.3,-0.2864008731254774
15,0.3,0.6,-0.20079908340778596
15,0.3,1,-0.17200264817073846
15,0.3,symmetric,-0.23555163565650739
15,0.6,0.01,-0.24137316649513518
15,0.6,0.3,-0.2364209401077036
15,0.6,0.6,-0.17520502219579864
15,0.6,1,-0.1535824853752397
15,0.6,symmetric,-0.24628935486162065
15,1,0.01,-0.2304552110794992
