num_topics,alpha,beta,u_mass,c_v
11,0.6,0.01,-2.6450801832054283,0.30595490293541977
11,0.6,0.3,-3.0439387079293594,0.32203780108192387
11,0.6,0.6,-3.8030480385872223,0.30789053802979127
11,0.6,1,-4.486094130737603,0.3432356179772795
11,0.6,symmetric,-2.673937764483542,0.3093584194948869
11,1,0.01,-2.587850995537835,0.2949056686793803
11,1,0.3,-3.5474806519085336,0.3132739954496918
11,1,0.6,-3.375720163843442,0.3614362228750468
11,1,1,-2.3895735501552675,0.3420675975154975
11,1,symmetric,-2.675563754483955,0.3088896781068261
11,symmetric,0.01,-2.4370388959107827,0.27359080508361683
11,symmetric,0.3,-2.409916615204112,0.27962914629940766
11,symmetric,0.6,-2.5649096710059043,0.27156181274007385
11,symmetric,1,-2.647212583150518,0.27474324554769675
11,symmetric,symmetric,-2.4212562116239416,0.2815821394019931
11,asymmetric,0.01,-2.2732723936138233,0.2841342435013854
11,asymmetric,0.3,-2.4379903734860826,0.310222348662329
11,asymmetric,0.6,-2.681086617639431,0.2931169967939283
11,asymmetric,1,-3.1502430092052975,0.2950351931180401
11,asymmetric,symmetric,-2.326615231943114,0.3031840595288063
12,0.01,0.01,-2.45607338977317,0.270848793709691
12,0.01,0.3,-2.262750631979324,0.29454643800486163
12,0.01,0.6,-2.6439049674268666,0.30444496777387453
12,0.01,1,-2.7100337591141876,0.29935505156046055
12,0.01,symmetric,-2.411130165474976,0.283642838335428
12,0.3,0.01,-2.4870770817807757,0.29058990165398313
12,0.3,0.3,-2.560137576606473,0.26897218847848037
12,0.3,0.6,-2.414036373501745,0.2911912990734222
12,0.3,1,-2.5518886086723844,0.2938197071473965
12,0.3,symmetric,-2.322754591070636,0.2828976311642289
12,0.6,0.01,-3.003907601922448,0.3017110751856218
12,0.6,0.3,-3.30023673631105,0.3233890691407811
12,0.6,0.6,-3.907071519855547,0.3098871500247307
12,0.6,1,-3.641645598437838,0.3219786101094131
12,0.6,symmetric,-3.0050336406977727,0.3100262326698369
12,1,0.01,-2.724780917610982,0.2951075134941886
12,1,0.3,-3.835401871432033,0.3143803564881436
12,1,0.6,-3.466773321369786,0.3557606565142552
12,1,1,-2.469064830817237,0.34970183456985504
12,1,symmetric,-2.9069536573595514,0.30251366300814453
12,symmetric,0.01,-2.24834207082305,0.2696245607364864
12,symmetric,0.3,-2.313592347962122,0.2979017452752332
12,symmetric,0.6,-2.4695354373715657,0.29630064118351335
12,symmetric,1,-2.6950142958260486,0.3053202818231348
12,symmetric,symmetric,-2.3262780088038464,0.26673480883653117
12,asymmetric,0.01,-2.068623070081529,0.26629499499306075
12,asymmetric,0.3,-2.286941621382694,0.27840309794639173
12,asymmetric,0.6,-2.5934951419915873,0.2951389772569625
12,asymmetric,1,-3.316291135607973,0.34324996852797857
12,asymmetric,symmetric,-2.4183977797524423,0.29056119598184493
13,0.01,0.01,-2.637513654848114,0.2908374732207542
13,0.01,0.3,-2.7528382187621507,0.2898525025240033
13,0.01,0.6,-2.523143968988201,0.2760718800557733
13,0.01,1,-2.5833172506166764,0.2677690788770318
13,0.01,symmetric,-2.766695466548431,0.2926245453182784
13,0.3,0.01,-2.314300920391125,0.2843649826995696
13,0.3,0.3,-2.4337733847841823,0.29493042119169954
13,0.3,0.6,-2.877009974789187,0.30191406894580103
13,0.3,1,-3.5058422285585147,0.3212383545971113
13,0.3,symmetric,-2.2230639752395125,0.2951353992852702
13,0.6,0.01,-2.6421091559880763,0.2985494304425872
13,0.6,0.3,-2.982127882765123,0.30619555167877544
13,0.6,0.6,-4.194624071180996,0.3226630051854268
13,0.6,1,-3.4777378538131094,0.3107223355239712
13,0.6,symmetric,-2.666425225774861,0.29776566510254593
13,1,0.01,-2.628215673694058,0.3029093493323115
13,1,0.3,-3.8055347840660922,0.3326103191502837
13,1,0.6,-2.5685332784916364,0.354543397439258
13,1,1,-2.636186828830408,0.29678687990350683
13,1,symmetric,-2.8256340133469964,0.30722455987945746
13,symmetric,0.01,-2.5679471087235095,0.30394034336106346
13,symmetric,0.3,-2.692512862044085,0.27774074393595166
13,symmetric,0.6,-2.482691965827907,0.2728736291268571
13,symmetric,1,-2.721287764061263,0.2761742752667452
13,symmetric,symmetric,-2.706869235913263,0.30672685818603657
13,asymmetric,0.01,-2.624118369185425,0.2878060968365201
13,asymmetric,0.3,-3.1009005639511367,0.29649659596450967
13,asymmetric,0.6,-2.386551958859102,0.3094148244985657
13,asymmetric,1,-2.8034093134434235,0.31179685380820693
13,asymmetric,symmetric,-2.7823049760054794,0.3062388858440349
14,0.01,0.01,-2.7158447464211766,0.30390182005901967
14,0.01,0.3,-2.4806771481737564,0.2971363739575072
14,0.01,0.6,-2.6749262003401135,0.29526530796620115
14,0.01,1,-2.707043403938765,0.3175042615254129
14,0.01,symmetric,-2.558447774339115,0.2927917347027191
14,0.3,0.01,-2.3151945317989973,0.295148772887917
14,0.3,0.3,-2.4647075195930057,0.27726472141874187
14,0.3,0.6,-2.824604481078684,0.3057983181151403
14,0.3,1,-3.113644108966298,0.2971259170998812
14,0.3,symmetric,-2.422531158134062,0.2904768517964582
14,0.6,0.01,-2.587692245191787,0.27395404115143857
14,0.6,0.3,-3.5412052368348013,0.3200885850274911
14,0.6,0.6,-4.221035112663019,0.3299510917325361
14,0.6,1,-4.432298812190157,0.35259195998452214
14,0.6,symmetric,-2.6979089626237465,0.29059561122371363
14,1,0.01,-2.6902112153639983,0.2960494408253096
14,1,0.3,-3.5992660475860894,0.3619598259274733
14,1,0.6,-3.383617380792572,0.33045441283176685
14,1,1,-2.2949962962443275,0.3163810316121339
14,1,symmetric,-3.333965997655999,0.3258036101814061
14,symmetric,0.01,-2.6477033688800113,0.2998740920512802
14,symmetric,0.3,-2.5900834590987243,0.30137147685656246
14,symmetric,0.6,-2.399822910405878,0.29725623789943684
14,symmetric,1,-2.7009101832470885,0.3064235622293686
14,symmetric,symmetric,-2.5775345010548194,0.3033649130511731
14,asymmetric,0.01,-2.338088065006965,0.29865654468721253
14,asymmetric,0.3,-2.6594781612369163,0.2911792085042088
14,asymmetric,0.6,-2.6650937547972924,0.2939709588205615
14,asymmetric,1,-4.1344361342516835,0.3727356068924505
14,asymmetric,symmetric,-2.5444359708392033,0.3014147304344029
15,0.01,0.01,-2.213327583988387,0.2846561316368845
15,0.01,0.3,-2.4482249626306984,0.2841099758685111
15,0.01,0.6,-2.695950584880485,0.2967700889444956
15,0.01,1,-3.005888644533206,0.28856460413199225
15,0.01,symmetric,-2.290775569413682,0.2889147310488666
15,0.3,0.01,-2.418376669157861,0.2703768816234459
15,0.3,0.3,-2.5617356835061615,0.2858567947298827
15,0.3,0.6,-2.7837020051297947,0.2962876246092302
15,0.3,1,-3.5778049859397303,0.3300725179686632
15,0.3,symmetric,-2.5345674708231694,0.28532783910668297
15,0.6,0.01,-2.5688809973368993,0.28730664324867267
15,0.6,0.3,-3.5685790794859735,0.31013512318034636
15,0.6,0.6,-4.429466444971595,0.34530989672160134
15,0.6,1,-5.411576523772174,0.36751590043136056
15,0.6,symmetric,-2.6525701708670453,0.28935604383716756
15,1,0.01,-2.765990876137716,0.3092546778898365
15,1,0.3,-3.687506878618028,0.3586154254025316
15,1,0.6,-3.35189055485569,0.31903584534857077
15,1,1,-2.0274365704733253,0.2899740015955546
15,1,symmetric,-3.112534979751535,0.31984737310056105
15,symmetric,0.01,-2.458385458585375,0.29250446735996505
15,symmetric,0.3,-2.4174085207772724,0.28683481436471747
15,symmetric,0.6,-2.6644623873072733,0.2758817563877306
15,symmetric,1,-3.105134735730614,0.31059126151881167
15,symmetric,symmetric,-2.232093515469302,0.28487526239435884
15,asymmetric,0.01,-2.05953722609225,0.3019026900685296
15,asymmetric,0.3,-2.8007467366358987,0.2934198381120733
15,asymmetric,0.6,-3.0412723598770435,0.30715837417617203
