num_topics,alpha,beta,u_mass,c_v
10,asymmetric,1,-2.603944688866382,0.27330425475443215
10,asymmetric,symmetric,-2.357158777108612,0.26672388496986843
11,0.01,0.01,-2.0051522855574535,0.276592718821685
11,0.01,0.3,-1.9064763893167935,0.25478612692025
11,0.01,1,-1.9064862550044503,0.25478612692025
11,0.01,symmetric,-1.9065278872422444,0.25478612692025
11,0.3,0.01,-2.208086042763466,0.2577222125783068
11,0.3,0.3,-2.102786580525178,0.25836303216797724
11,0.3,1,-4.4095309300251,0.3632988580111745
11,0.3,symmetric,-2.300006167253696,0.2778695884153111
11,1,0.01,-2.392509079823945,0.29683928468022086
11,1,0.3,-2.837639576225459,0.3099116410872761
11,1,1,-8.325662964984996,0.46800527241271656
11,1,symmetric,-2.131974443341812,0.2985239248196589
11,symmetric,0.01,-2.3473762694771083,0.2848486711583452
11,symmetric,0.3,-1.9956572270546256,0.26924718004748976
11,symmetric,1,-1.9956572270546256,0.26924718004748976
11,symmetric,symmetric,-2.1269561139975646,0.28302213327387205
11,asymmetric,0.01,-2.3337230141536733,0.30571501814087954
11,asymmetric,0.3,-2.5221620071948863,0.2873834450121771
11,asymmetric,1,-2.567265358913765,0.28249963377366
11,asymmetric,symmetric,-2.5256642861185727,0.2811084082512477
12,0.01,0.01,-1.9248426210643188,0.28107896832339735
12,0.01,0.3,-2.2839332329217252,0.29220934162355444
12,0.01,1,-2.285470367022237,0.29220934162355444
12,0.01,symmetric,-2.285704866188524,0.29220934162355444
12,0.3,0.01,-2.1291059015974874,0.3045596739312626
12,0.3,0.3,-2.111009026111939,0.29374535370991833
12,0.3,1,-5.579678478197059,0.38568807412175904
12,0.3,symmetric,-2.0395321662159747,0.2940716961490864
12,1,0.01,-2.095840448314085,0.2943750161418008
12,1,0.3,-2.799316770633285,0.3175500314480376
12,1,1,-9.184736428121104,0.4821514379196295
12,1,symmetric,-2.337184308042162,0.3093649188641974
12,symmetric,0.01,-2.172007906395934,0.28465604101453457
