num_topics,alpha,beta,u_mass,c_v
9,1,1,-5.206608391874969,0.359516967668909
9,1,symmetric,-2.913982050990432,0.3072837277135741
9,symmetric,0.01,-2.923902649436896,0.27727135862340063
9,symmetric,0.3,-3.3653206703244822,0.28273451074829237
9,symmetric,1,-2.7639556032359844,0.28391664445147163
9,symmetric,symmetric,-3.150557273010517,0.290040302781725
9,asymmetric,0.01,-3.7356831744741927,0.3147839736858719
9,asymmetric,0.3,-4.628508494443834,0.31778995191180154
9,asymmetric,1,-4.881725047011587,0.3512258759928741
9,asymmetric,symmetric,-4.864416556040318,0.31673864346703723
10,0.01,0.01,-4.545141892931464,0.3248658949301583
10,0.01,0.3,-2.7130148707886614,0.28204815898251306
10,0.01,1,-2.638402003157947,0.2826661210123952
10,0.01,symmetric,-3.034862566709911,0.28193248311218033
10,0.3,0.01,-2.8918955905827888,0.29063795875403386
10,0.3,0.3,-3.5337091565595244,0.29343425483339824
10,0.3,1,-3.9448661839763837,0.32853815366666295
10,0.3,symmetric,-2.894438428104941,0.2858117921161766
10,1,0.01,-3.224077546941259,0.3003877625873652
10,1,0.3,-3.787607579279553,0.35222669148820274
10,1,1,-5.4286319200277715,0.3796985066172874
10,1,symmetric,-3.462118656004403,0.31354639859879435
10,symmetric,0.01,-3.6392668751563813,0.28778949502658335
10,symmetric,0.3,-2.812625654417438,0.26023221070928615
10,symmetric,1,-2.6417051448757944,0.2670867385234789
10,symmetric,symmetric,-3.833367472017257,0.28712576698941655
10,asymmetric,0.01,-3.2681209579757704,0.30413537457184836
10,asymmetric,0.3,-4.53146011980013,0.33595940665052565
10,asymmetric,1,-4.813302215374061,0.3607255571263727
10,asymmetric,symmetric,-4.079658643267492,0.3102524517625747
11,0.01,0.01,-3.7010740423682815,0.272506336354132
11,0.01,0.3,-3.3625725052601876,0.26888133803888653
11,0.01,1,-3.0778054584483243,0.2677614617034558
11,0.01,symmetric,-3.104024845270809,0.2536460595799597
11,0.3,0.01,-2.9498212154312484,0.2878218311920296
11,0.3,0.3,-4.322394083032349,0.32872802816699387
11,0.3,1,-5.585650947238545,0.3570311978239465
11,0.3,symmetric,-3.1770502753654792,0.2965789281039624
11,1,0.01,-3.4910148865391704,0.3055537285850881
11,1,0.3,-3.735466547966324,0.3721409837783593
11,1,1,-6.048797166402298,0.3943835022968669
11,1,symmetric,-3.806443599118393,0.32077758624610936
11,symmetric,0.01,-3.9898349359447915,0.2962557399449282
11,symmetric,0.3,-3.170777871321361,0.2751877326078831
11,symmetric,1,-3.3137998283575185,0.2826847700935135
11,symmetric,symmetric,-3.7230840031184127,0.2655752079071764
11,asymmetric,0.01,-3.7283615492055917,0.2853031942289509
11,asymmetric,0.3,-4.711903789262141,0.3285638672302071
11,asymmetric,1,-3.9603683845193527,0.3168747966103424
11,asymmetric,symmetric,-4.179636562308449,0.2953424481467538
12,0.01,0.01,-3.9982511136949506,0.2949063725502448
12,0.01,0.3,-3.162446451678137,0.28562487148283505
12,0.01,1,-3.0854471845711253,0.2860715585504539
12,0.01,symmetric,-3.3038893141493677,0.2799260263630868
12,0.3,0.01,-2.996481448862646,0.3234498047649472
12,0.3,0.3,-2.940042720575897,0.315091378399693
12,0.3,1,-5.744751486104788,0.3619699181938944
12,0.3,symmetric,-2.7854866846867767,0.31813113685932304
12,1,0.01,-3.45843298814432,0.30898004953786945
12,1,0.3,-4.721751558217991,0.39368648075816753
12,1,1,-6.359268169727559,0.40682162459220944
12,1,symmetric,-3.7724067438180313,0.30999038453731126
12,symmetric,0.01,-3.765212569693167,0.28772439028827995
12,symmetric,0.3,-3.032780186191916,0.2902359913253914
12,symmetric,1,-3.080787209883429,0.28873982357849126
12,symmetric,symmetric,-4.129775992617337,0.28086879163025263
12,asymmetric,0.01,-3.696521617732898,0.32695029790320773
12,asymmetric,0.3,-4.134132115618063,0.3189377998345461
12,asymmetric,1,-3.8554165942652943,0.31909278860192797
12,asymmetric,symmetric,-3.7361295721920817,0.307519263716865
13,0.01,0.01,-3.8160691479500746,0.31178695593691036
13,0.01,0.3,-4.559509359607511,0.3183196690363523
13,0.01,1,-3.7392383648386054,0.3057666424293856
13,0.01,symmetric,-3.832529898746412,0.3171048082287872
13,0.3,0.01,-3.301668895625198,0.3197448553275406
13,0.3,0.3,-3.732621577217986,0.32980407144629986
13,0.3,1,-5.8923062181714,0.37079992698537023
13,0.3,symmetric,-3.3993710713629905,0.3247886960367878
13,1,0.01,-3.329899280795478,0.3191211270463089
13,1,0.3,-5.108845823679841,0.3738981482831231
13,1,1,-6.232008295832295,0.3955690182855428
13,1,symmetric,-3.560474871359168,0.32168999205059373
13,symmetric,0.01,-4.273191854247953,0.32002093741303106
13,symmetric,0.3,-4.342077951257779,0.32233153920927676
13,symmetric,1,-3.6555960774383567,0.3010062974425451
13,symmetric,symmetric,-4.008351612978208,0.332581535729951
13,asymmetric,0.01,-4.145743130360215,0.34255912113616377
13,asymmetric,0.3,-4.5663249135595585,0.3307922300876873
13,asymmetric,1,-4.3481790496569035,0.33340613700761756
13,asymmetric,symmetric,-4.260155299181404,0.3229409366707353
14,0.01,0.01,-3.7323760102802273,0.31863557483868715
14,0.01,0.3,-3.4816737334402132,0.3018306040337822
14,0.01,1,-3.40217453584993,0.28433674946827947
14,0.01,symmetric,-3.712701630746362,0.3035284456143986
14,0.3,0.01,-2.9765450461742686,0.30533998261389733
14,0.3,0.3,-3.728862942855938,0.32932251644129745
14,0.3,1,-4.977608498006283,0.35025854600692213
14,0.3,symmetric,-3.5503666633166806,0.3278921823287491
14,1,0.01,-3.624138104508495,0.3038942347985663
14,1,0.3,-4.912228721565185,0.3565902043572288
14,1,1,-6.908651000420228,0.42206129360864003
14,1,symmetric,-4.061480183961546,0.31007936010066006
14,symmetric,0.01,-4.520293536823482,0.3338017733987357
14,symmetric,0.3,-4.05635462260104,0.32019945866077215
14,symmetric,1,-3.497192850019109,0.29492904985103724
14,symmetric,symmetric,-4.7124734933226256,0.346068104731349
14,asymmetric,0.01,-3.764551975105799,0.31602826898227115
14,asymmetric,0.3,-3.9139640449437505,0.3162500173780802
14,asymmetric,1,-4.0056785298887965,0.33020320969012534
14,asymmetric,symmetric,-3.779895557403617,0.31407982950697383
15,0.01,0.01,-4.235098009882326,0.3313868803962445
15,0.01,0.3,-3.9566874689436795,0.2864591660552019
15,0.01,1,-3.4786886327618514,0.2736716433270499
15,0.01,symmetric,-4.1910504131125865,0.2975000640413433
15,0.3,0.01,-3.35522670860276,0.31792634955022714
15,0.3,0.3,-3.906710414905296,0.3320921420930984
15,0.3,1,-4.753667394182398,0.3471407593220133
15,0.3,symmetric,-3.534024627739257,0.3209936099440151
15,1,0.01,-3.20243193184703,0.3268658414522361
15,1,0.3,-4.307712833219654,0.371971724890655
15,1,1,-6.386494931009001,0.40716897775246963
15,1,symmetric,-3.7842036999210427,0.34057439533818207
15,symmetric,0.01,-4.920567464115886,0.3364941931807262
15,symmetric,0.3,-4.238217271272276,0.30658398467211173
15,symmetric,1,-4.35724348356972,0.30598980663498343
15,symmetric,symmetric,-4.512964594347034,0.33885550374668855
15,asymmetric,0.01,-3.8819999348570935,0.3246464280031979
15,asymmetric,0.3,-4.097180742016905,0.32374434852134254
15,asymmetric,1,-4.210628041021967,0.3225480856798262
15,asymmetric,symmetric,-4.286041271671921,0.3305471065756186
16,0.01,0.01,-5.305305948460047,0.331053090423289
16,0.01,0.3,-4.477376097870684,0.2950554457461809
16,0.01,1,-3.988099162148787,0.29062607583198047
16,0.01,symmetric,-4.800156703853801,0.3152546991069528
16,0.3,0.01,-3.6757632107255986,0.3256215762720818
16,0.3,0.3,-4.5565067071506835,0.3424381594669078
16,0.3,1,-5.120202972215514,0.35016971449436196
16,0.3,symmetric,-4.084928463082257,0.3275656357801985
16,1,0.01,-3.845011782022658,0.33824350763969946
16,1,0.3,-4.160388598576959,0.3680567229727519
16,1,1,-6.77042483444154,0.4071031072301572
16,1,symmetric,-3.754335721045263,0.338902599283745
16,symmetric,0.01,-4.788331698220122,0.332734522174866
16,symmetric,0.3,-4.460033756129773,0.2923750007177399
16,symmetric,1,-4.554347429105284,0.3083251636048537
16,symmetric,symmetric,-4.9858888094335345,0.32339318380670107
16,asymmetric,0.01,-4.225957355379719,0.3382023202537897
16,asymmetric,0.3,-4.067915936567194,0.32524300543741014
16,asymmetric,1,-4.0337729204547585,0.3209553833926919
16,asymmetric,symmetric,-4.126151015908204,0.3262906561179333
17,0.01,0.01,-4.361279251887261,0.31982175792396367
17,0.01,0.3,-4.3568097695687396,0.29327673570860335
17,0.01,1,-3.7920962684417283,0.27301109985079974
17,0.01,symmetric,-4.301116778111562,0.3015549289733496
17,0.3,0.01,-3.753533344527362,0.32436914009085394
17,0.3,0.3,-4.746457733766487,0.34555913895771495
17,0.3,1,-5.164193228059434,0.34196536258478033
17,0.3,symmetric,-3.803128177476903,0.33052698419511356
17,1,0.01,-3.8176100792920846,0.3446819007881479
17,1,0.3,-5.114779492471405,0.38744162039321334
17,1,1,-7.265864636963623,0.41853096475681795
17,1,symmetric,-4.189094025861788,0.35781695038981765
17,symmetric,0.01,-4.463027028320094,0.33286219952045126
17,symmetric,0.3,-4.6713508378996975,0.3074825881282375
17,symmetric,1,-3.965096231184062,0.28926060982958074
17,symmetric,symmetric,-4.9829796763902845,0.35002800758216734
17,asymmetric,0.01,-3.8035231143165067,0.32954538480910867
17,asymmetric,0.3,-3.976805466937766,0.32031511555574577
17,asymmetric,1,-3.92651555110257,0.3189864088378446
17,asymmetric,symmetric,-3.648995999282856,0.3227354202575542
18,0.01,0.01,-4.480111923312505,0.33403912852564904
18,0.01,0.3,-4.187410166412639,0.2955082215389679
18,0.01,1,-3.671466403336134,0.274863274738083
18,0.01,symmetric,-3.87273622371119,0.3002961675204783
18,0.3,0.01,-3.468364119752496,0.32058662377898145
18,0.3,0.3,-4.7916397717475485,0.3568205945301241
18,0.3,1,-5.735525328090513,0.36825879401515504
18,0.3,symmetric,-3.440599483789292,0.3271463830030965
18,1,0.01,-3.7259870467298546,0.331688274674191
18,1,0.3,-4.9337212074900085,0.3835738779512212
18,1,1,-7.613236912275988,0.44150700922721936
18,1,symmetric,-3.887646209445751,0.33416078750099243
18,symmetric,0.01,-4.549379746958919,0.3331528936527905
18,symmetric,0.3,-4.122320960071941,0.2898915149100954
18,symmetric,1,-4.001581841273228,0.2862198625017533
18,symmetric,symmetric,-4.840352160338363,0.3390545396592108
18,asymmetric,0.01,-3.6838029494279416,0.3237177955142913
18,asymmetric,0.3,-3.959569524963376,0.3222707781262947
18,asymmetric,1,-4.031186261930468,0.3219108276405527
18,asymmetric,symmetric,-3.561418714081844,0.3170866661392078
19,0.01,0.01,-4.536574683631836,0.3157309209432283
19,0.01,0.3,-3.5224272529322573,0.2914056493089239
19,0.01,1,-3.166949788588095,0.2787872803503448
19,0.01,symmetric,-3.73040331756214,0.29684001840182295
19,0.3,0.01,-3.6123466336245653,0.3334748160412831
19,0.3,0.3,-4.273722683772653,0.35923292469004464
19,0.3,1,-5.164272641466937,0.3465819587699723
19,0.3,symmetric,-3.724497611141404,0.3357514562496197
19,1,0.01,-3.6260057037421083,0.33713345404070205
19,1,0.3,-4.6726336157190955,0.38299196920605705
19,1,1,-7.37683011674017,0.43944514653513633
19,1,symmetric,-3.7159745625134915,0.3414619019830475
19,symmetric,0.01,-4.648132074665412,0.32454863197375955
19,symmetric,0.3,-3.616168000755008,0.28794325014800953
19,symmetric,1,-3.6223527401825097,0.28919454035849496
19,symmetric,symmetric,-4.564879978784202,0.32752669401034956
19,asymmetric,0.01,-3.9217578222466813,0.3310222309427352
