num_topics,alpha,beta,u_mass
10,symmetric,0.3,-1.475957390036138
10,symmetric,0.6,-1.6368167436166545
10,symmetric,1,-0.8019715858463616
10,symmetric,symmetric,-0.8919746732969083
10,asymmetric,0.01,-1.1460910600996446
10,asymmetric,0.3,-2.162775311054494
10,asymmetric,0.6,-1.5983489647255615
10,asymmetric,1,-1.1139813692497973
10,asymmetric,symmetric,-1.6245865475053995
11,0.01,0.01,-1.4959887035351833
11,0.01,0.3,-1.4073264654830988
11,0.01,0.6,-1.5024850167627668
11,0.01,1,-1.458616858144505
11,0.01,symmetric,-1.4715647313724098
11,0.3,0.01,-0.9742020369690866
11,0.3,0.3,-0.8526670451265833
11,0.3,0.6,-0.7299562569703677
11,0.3,1,-0.7355571995905116
11,0.3,symmetric,-0.8471736404744775
11,0.6,0.01,-0.7403704654696199
11,0.6,0.3,-0.998966173646306
11,0.6,0.6,-1.433740785587438
11,0.6,1,-5.369847476794612
11,0.6,symmetric,-0.683477624160522
11,1,0.01,-0.9497940224791271
11,1,0.3,-1.6784722928384108
11,1,0.6,-5.864006112156642
11,1,1,-6.323154364854667
11,1,symmetric,-0.8594863659559244
11,symmetric,0.01,-0.7554773408325496
11,symmetric,0.3,-0.9677186770802763
11,symmetric,0.6,-1.1650136741203636
11,symmetric,1,-1.0227196068592184
11,symmetric,symmetric,-1.3443307669009867
11,asymmetric,0.01,-1.0107905287306942
11,asymmetric,0.3,-1.5417308178671008
11,asymmetric,0.6,-1.9131092623573829
11,asymmetric,1,-1.362414289838316
11,asymmetric,symmetric,-1.757845024876613
12,0.01,0.01,-1.1760049324105704
12,0.01,0.3,-1.143057504257834
12,0.01,0.6,-1.1389573641334918
12,0.01,1,-1.1416989516829732
12,0.01,symmetric,-1.1937740399586463
12,0.3,0.01,-0.8816478769209469
12,0.3,0.3,-0.6876754881105646
12,0.3,0.6,-0.9043598897282167
12,0.3,1,-0.7076433430535359
12,0.3,symmetric,-0.849399553490052
12,0.6,0.01,-0.7875806925898217
12,0.6,0.3,-0.736110781447246
12,0.6,0.6,-1.4722087075481498
12,0.6,1,-5.806835319502206
12,0.6,symmetric,-0.7228441059915625
12,1,0.01,-1.0454936294224577
12,1,0.3,-1.731868799848166
12,1,0.6,-6.037023001397784
12,1,1,-6.766648400534862
12,1,symmetric,-0.8564071581151831
12,symmetric,0.01,-0.7917314844247572
12,symmetric,0.3,-0.8076093251372464
12,symmetric,0.6,-0.8985690530932509
12,symmetric,1,-0.8213082485944199
12,symmetric,symmetric,-1.0840370558010937
12,asymmetric,0.01,-0.8836376782779224
12,asymmetric,0.3,-1.1766831365347703
12,asymmetric,0.6,-1.1130590246890175
12,asymmetric,1,-1.0775837030258553
12,asymmetric,symmetric,-1.207145038414482
13,0.01,0.01,-1.9144982713632714
13,0.01,0.3,-2.3948860115400383
13,0.01,0.6,-1.7746952769251547
13,0.01,1,-1.8200328623565936
13,0.01,symmetric,-1.9142805894185801
13,0.3,0.01,-0.8005868905699838
13,0.3,0.3,-0.8759939024375384
13,0.3,0.6,-0.9817566888360876
13,0.3,1,-1.0007907616061051
13,0.3,symmetric,-0.8432802042352484
13,0.6,0.01,-0.86872794559598
13,0.6,0.3,-0.6820164173460859
13,0.6,0.6,-1.7332914146328495
13,0.6,1,-5.871470312215
13,0.6,symmetric,-0.8471915989595509
13,1,0.01,-0.9206495265730598
13,1,0.3,-1.7603911727713113
13,1,0.6,-6.326894578036332
13,1,1,-7.089300549350106
13,1,symmetric,-1.01680541850478
13,symmetric,0.01,-0.9401758181482776
13,symmetric,0.3,-2.3900588870504165
13,symmetric,0.6,-1.9356721765778475
13,symmetric,1,-1.8380349463251684
13,symmetric,symmetric,-1.8998233277485213
13,asymmetric,0.01,-1.3285731448253606
13,asymmetric,0.3,-2.3504682957013583
13,asymmetric,0.6,-1.6367788180330587
13,asymmetric,1,-1.598779943128227
13,asymmetric,symmetric,-1.8127744902137062
14,0.01,0.01,-1.1648707941797976
14,0.01,0.3,-1.3004795716409947
14,0.01,0.6,-0.8371834852713258
14,0.01,1,-1.2845102064569551
14,0.01,symmetric,-1.1867567448049277
14,0.3,0.01,-0.8160667461733643
14,0.3,0.3,-0.8633557004138002
14,0.3,0.6,-0.8834610736590579
14,0.3,1,-0.8190377490296966
14,0.3,symmetric,-0.8160133678324665
14,0.6,0.01,-0.8945052677801312
14,0.6,0.3,-0.6953872450013205
14,0.6,0.6,-3.1782326618219314
14,0.6,1,-5.355823651430441
14,0.6,symmetric,-0.7983111611138292
14,1,0.01,-0.8010984256646356
14,1,0.3,-2.88916667069802
14,1,0.6,-6.548282020269878
14,1,1,-7.364215195143873
14,1,symmetric,-1.0711336912839708
14,symmetric,0.01,-1.0273892697192126
14,symmetric,0.3,-0.8835694779846515
14,symmetric,0.6,-0.8151051390953465
14,symmetric,1,-0.816142263050572
14,symmetric,symmetric,-1.1783073596408191
14,asymmetric,0.01,-1.1952420952094545
14,asymmetric,0.3,-1.263290251431634
14,asymmetric,0.6,-0.7405429885987445
14,asymmetric,1,-0.6705763973747942
14,asymmetric,symmetric,-1.203315090207418
15,0.01,0.01,-1.358301314668734
15,0.01,0.3,-1.3510376894607516
15,0.01,0.6,-1.3590280460733142
15,0.01,1,-1.2024687517891397
15,0.01,symmetric,-1.354433647929813
15,0.3,0.01,-0.869159455521655
15,0.3,0.3,-1.1345038641715723
15,0.3,0.6,-0.9155179691353991
15,0.3,1,-0.8871144354228384
15,0.3,symmetric,-0.8260831008959636
15,0.6,0.01,-0.9690431769396379
15,0.6,0.3,-0.9245203294592698
15,0.6,0.6,-5.626058112594366
15,0.6,1,-5.266947638911349
15,0.6,symmetric,-0.9141525535150531
15,1,0.01,-0.9119186123780718
15,1,0.3,-5.116217884534706
15,1,0.6,-7.3543295475553725
15,1,1,-7.94453700604874
15,1,symmetric,-1.1454549654831419
15,symmetric,0.01,-1.3346081858105523
15,symmetric,0.3,-1.326377157728421
15,symmetric,0.6,-1.372802007784917
15,symmetric,1,-1.2298818482965896
15,symmetric,symmetric,-1.350313340549711
15,asymmetric,0.01,-1.4148705699962536
15,asymmetric,0.3,-1.3709456433485863
15,asymmetric,0.6,-1.2279677540378877
15,asymmetric,1,-1.109245258182035
15,asymmetric,symmetric,-1.369531667301137
16,0.01,0.01,-1.2364145766287753
16,0.01,0.3,-1.2597420513277875
16,0.01,0.6,-1.617548159113621
16,0.01,1,-1.5341477954080989
16,0.01,symmetric,-1.2624629788140316
16,0.3,0.01,-0.8266599132477487
16,0.3,0.3,-0.7573996998901995
16,0.3,0.6,-0.7792220475219507
16,0.3,1,-1.1258542479109743
16,0.3,symmetric,-0.7518821753242704
16,0.6,0.01,-1.0088558011233841
16,0.6,0.3,-0.7371270369074069
16,0.6,0.6,-5.727472758440297
16,0.6,1,-5.127928409429889
16,0.6,symmetric,-0.9758867802258485
16,1,0.01,-0.8311364888090664
16,1,0.3,-6.074447740184167
16,1,0.6,-7.151809235259639
16,1,1,-8.067600017021773
16,1,symmetric,-1.1046390860762423
16,symmetric,0.01,-0.7999803006118134
16,symmetric,0.3,-1.2914780845170646
16,symmetric,0.6,-0.732654255654159
16,symmetric,1,-0.8367766962058997
16,symmetric,symmetric,-1.2253599987792008
16,asymmetric,0.01,-1.2131975531646277
16,asymmetric,0.3,-1.1497941869880262
16,asymmetric,0.6,-1.1602616351699144
16,asymmetric,1,-1.5203462845696776
16,asymmetric,symmetric,-1.2232973251540247
17,0.01,0.01,-1.5313632104113721
17,0.01,0.3,-1.5007185471777835
17,0.01,0.6,-1.4953904228976498
17,0.01,1,-1.438420162015017
17,0.01,symmetric,-1.5473348023845803
17,0.3,0.01,-0.882500818926188
17,0.3,0.3,-1.4730997213206583
17,0.3,0.6,-0.8589224580753024
17,0.3,1,-0.9698397008744334
17,0.3,symmetric,-0.8389129110914184
17,0.6,0.01,-1.1250706495563016
17,0.6,0.3,-0.7245973040984532
17,0.6,0.6,-6.015013641387706
17,0.6,1,-5.609978119115328
17,0.6,symmetric,-0.9646912549307071
17,1,0.01,-0.8202244770844497
17,1,0.3,-6.042477955830847
17,1,0.6,-7.276341019274693
17,1,1,-8.271646058797385
17,1,symmetric,-1.0396291588485715
17,symmetric,0.01,-1.5322834613601588
17,symmetric,0.3,-1.4743412801264222
17,symmetric,0.6,-1.4978710292840078
17,symmetric,1,-1.4240653237242535
17,symmetric,symmetric,-1.5192484200427914
17,asymmetric,0.01,-1.890683690175624
17,asymmetric,0.3,-1.410016489241381
17,asymmetric,0.6,-1.4286797476202875
17,asymmetric,1,-1.4983676672282242
17,asymmetric,symmetric,-1.89802113597249
18,0.01,0.01,-1.965155056240028
18,0.01,0.3,-2.358470147549866
18,0.01,0.6,-2.28708932705494
18,0.01,1,-2.2746933984499806
18,0.01,symmetric,-1.9654168411686075
18,0.3,0.01,-0.8483037843414666
18,0.3,0.3,-1.4499018494996092
18,0.3,0.6,-0.7591323653157527
18,0.3,1,-1.0979188022738948
18,0.3,symmetric,-0.8130921879162776
18,0.6,0.01,-0.7506321049781959
18,0.6,0.3,-0.872064641394345
18,0.6,0.6,-6.2035197261900095
18,0.6,1,-5.477326107898424
18,0.6,symmetric,-1.000132627469237
18,1,0.01,-0.881731328917639
18,1,0.3,-7.153100871566934
18,1,0.6,-7.425303459608293
18,1,1,-8.406594751376723
18,1,symmetric,-1.1790049382560661
18,symmetric,0.01,-1.9486797739610084
18,symmetric,0.3,-2.3428997520483668
18,symmetric,0.6,-2.3006673033916862
18,symmetric,1,-2.2687113882996934
