num_topics,alpha,beta,coherence
7,1,0.3,-1.4853404725953605
7,1,0.6,-2.430606836999928
7,1,1,-3.2694259452359984
7,1,symmetric,-2.355307501320221
7,symmetric,0.01,-1.989389518975298
7,symmetric,0.3,-1.8536031469312861
7,symmetric,0.6,-1.8975456985722303
7,symmetric,1,-2.6440147227421718
7,symmetric,symmetric,-1.7093323252786716
7,asymmetric,0.01,-1.72311830188723
7,asymmetric,0.3,-2.7571826702859736
7,asymmetric,0.6,-2.7684984789529614
7,asymmetric,1,-2.393595118319556
7,asymmetric,symmetric,-3.107503785569239
8,0.01,0.01,-1.9415242614853006
8,0.01,0.3,-2.357028256982132
8,0.01,0.6,-2.012436326952793
8,0.01,1,-1.7736264704473115
8,0.01,symmetric,-1.8962557289818758
8,0.3,0.01,-2.482674519058845
8,0.3,0.3,-2.9737422975141623
8,0.3,0.6,-1.945447912865074
8,0.3,1,-2.222094489942127
8,0.3,symmetric,-2.16262857345036
8,0.6,0.01,-2.5468542574215984
8,0.6,0.3,-1.6959746236473205
8,0.6,0.6,-1.7725149113445084
8,0.6,1,-4.68584691417458
8,0.6,symmetric,-1.8941426898093674
8,1,0.01,-1.865803329596349
8,1,0.3,-1.7503476721418207
8,1,0.6,-2.2160489273227997
8,1,1,-2.2598419040476116
8,1,symmetric,-2.4056274494678354
8,symmetric,0.01,-1.9114221396536135
8,symmetric,0.3,-2.5401421331281826
8,symmetric,0.6,-3.408969044048081
8,symmetric,1,-2.9821300604189016
8,symmetric,symmetric,-3.2590868157387156
8,asymmetric,0.01,-2.2230189215695546
8,asymmetric,0.3,-3.007607702630801
8,asymmetric,0.6,-3.1400806503291188
8,asymmetric,1,-3.5411434016722962
8,asymmetric,symmetric,-4.279276489958503
9,0.01,0.01,-2.194059163915166
9,0.01,0.3,-2.1009804063267965
9,0.01,0.6,-2.138087265521073
9,0.01,1,-2.1301079273490866
9,0.01,symmetric,-2.1849405688945396
9,0.3,0.01,-1.9495093465211655
9,0.3,0.3,-1.9831419826589807
9,0.3,0.6,-2.1192664013466413
9,0.3,1,-2.2350732816712497
9,0.3,symmetric,-2.099723854863361
9,0.6,0.01,-1.7600682648085553
9,0.6,0.3,-3.126759449350709
9,0.6,0.6,-4.18665460193623
9,0.6,1,-2.507309407366994
9,0.6,symmetric,-2.7745270657089653
9,1,0.01,-2.1320480179479415
9,1,0.3,-2.0124867249826695
9,1,0.6,-2.6871891950895095
9,1,1,-2.1844106577604863
9,1,symmetric,-2.4406502592885255
9,symmetric,0.01,-2.5349685422461867
9,symmetric,0.3,-2.3265852813479544
9,symmetric,0.6,-2.4380135150542364
9,symmetric,1,-2.396745469936041
9,symmetric,symmetric,-2.685728199760023
9,asymmetric,0.01,-2.0412687463445196
9,asymmetric,0.3,-5.053357775060944
9,asymmetric,0.6,-3.747563660338863
9,asymmetric,1,-3.9516500616029595
9,asymmetric,symmetric,-2.9337085609855795
10,0.01,0.01,-2.3027398955367144
10,0.01,0.3,-1.665360046059473
10,0.01,0.6,-2.018608151508642
10,0.01,1,-2.1825358697337185
10,0.01,symmetric,-2.2704894212317823
10,0.3,0.01,-2.2286197186855063
10,0.3,0.3,-1.9307662250278335
10,0.3,0.6,-2.8769882812927303
10,0.3,1,-2.979132421287082
10,0.3,symmetric,-2.180629552127681
10,0.6,0.01,-2.098911016829228
10,0.6,0.3,-2.156119040137572
10,0.6,0.6,-2.5078381005312047
10,0.6,1,-5.026513335572133
10,0.6,symmetric,-2.252796134608076
10,1,0.01,-2.2282427506772473
10,1,0.3,-2.6883890957118175
10,1,0.6,-2.998667183534105
10,1,1,-2.8026352833456256
10,1,symmetric,-2.039385092340858
10,symmetric,0.01,-2.629220870870635
10,symmetric,0.3,-2.1047106053424733
10,symmetric,0.6,-3.130451799005079
10,symmetric,1,-2.604183024945009
10,symmetric,symmetric,-1.9676976429939494
10,asymmetric,0.01,-1.8968031889061483
10,asymmetric,0.3,-4.783905893596515
10,asymmetric,0.6,-3.973100534659379
10,asymmetric,1,-3.0606664063499442
10,asymmetric,symmetric,-3.1566568252697946
