num_topics,alpha,beta,coherence
7,symmetric,symmetric,-3.983051350510237
7,asymmetric,0.01,-2.9843253099641713
7,asymmetric,0.3,-4.631525517605446
7,asymmetric,0.6,-6.512113663794669
7,asymmetric,1,-4.459205848951901
7,asymmetric,symmetric,-5.0263946032044595
8,0.01,0.01,-3.0583061727306458
8,0.01,0.3,-3.054782474911452
8,0.01,0.6,-2.5445303809440967
8,0.01,1,-2.1594808086787083
8,0.01,symmetric,-2.622962011324364
8,0.3,0.01,-2.5185811427355342
8,0.3,0.3,-2.3091196828661773
8,0.3,0.6,-3.4075339871136823
8,0.3,1,-3.13989295278345
8,0.3,symmetric,-4.555784412998008
8,0.6,0.01,-2.762781758809613
8,0.6,0.3,-2.577863606243038
8,0.6,0.6,-2.8990096661407216
8,0.6,1,-4.455111520989013
8,0.6,symmetric,-2.6635031006976546
8,1,0.01,-2.999633302553142
8,1,0.3,-2.6750686857290416
8,1,0.6,-2.8159741970742367
8,1,1,-4.136802919107479
8,1,symmetric,-3.192421555595677
8,symmetric,0.01,-2.6127840783414538
8,symmetric,0.3,-2.7264591326868546
8,symmetric,0.6,-3.401308585765943
8,symmetric,1,-2.6620409266166942
8,symmetric,symmetric,-3.291732256527057
8,asymmetric,0.01,-2.945043481865488
8,asymmetric,0.3,-6.0270862129159655
8,asymmetric,0.6,-6.0128543227652145
8,asymmetric,1,-6.765072833100886
8,asymmetric,symmetric,-6.705316345280636
9,0.01,0.01,-2.9578162112705693
9,0.01,0.3,-3.020015900609914
9,0.01,0.6,-2.76078690123549
9,0.01,1,-3.077566350444692
9,0.01,symmetric,-2.8069568039084682
9,0.3,0.01,-2.967345861598925
9,0.3,0.3,-2.650494002959304
9,0.3,0.6,-2.3110709446130975
9,0.3,1,-3.8616761576910767
9,0.3,symmetric,-2.6375659725398717
9,0.6,0.01,-2.7132470628913885
9,0.6,0.3,-3.31048096790981
9,0.6,0.6,-3.2771521674632758
9,0.6,1,-2.683269881751388
9,0.6,symmetric,-2.542627249797913
9,1,0.01,-3.1403501238030063
9,1,0.3,-2.839322183697883
9,1,0.6,-2.6004209716594247
9,1,1,-3.8717365794461265
9,1,symmetric,-4.2292763868399454
9,symmetric,0.01,-2.437953317271673
9,symmetric,0.3,-4.595331108789468
9,symmetric,0.6,-3.674303484822548
9,symmetric,1,-3.8042041657682435
9,symmetric,symmetric,-4.02430631307959
9,asymmetric,0.01,-3.5246709643137857
9,asymmetric,0.3,-4.816013551620075
9,asymmetric,0.6,-6.530872961743998
9,asymmetric,1,-4.693873750080937
9,asymmetric,symmetric,-3.9304909548828664
10,0.01,0.01,-3.0571091858217083
10,0.01,0.3,-2.756417118426103
10,0.01,0.6,-3.0985872656361173
10,0.01,1,-3.0519608192934675
10,0.01,symmetric,-2.69259126492968
10,0.3,0.01,-2.647514139865516
10,0.3,0.3,-2.5975198415304757
10,0.3,0.6,-3.0642983801711003
10,0.3,1,-3.1547835108685796
10,0.3,symmetric,-3.5751376398909125
10,0.6,0.01,-3.467817062137429
10,0.6,0.3,-2.736463404548369
10,0.6,0.6,-3.8327425117510168
10,0.6,1,-5.3981522269446325
10,0.6,symmetric,-2.6776362076051314
10,1,0.01,-3.4155212397653996
10,1,0.3,-3.0964861156708587
10,1,0.6,-3.5417870743041746
10,1,1,-3.681168917244565
10,1,symmetric,-3.2658191192454544
10,symmetric,0.01,-3.345028320043941
10,symmetric,0.3,-3.1722860049489654
10,symmetric,0.6,-3.8409044765630314
10,symmetric,1,-3.112113338389888
10,symmetric,symmetric,-3.6500251917548647
10,asymmetric,0.01,-3.149649145154276
10,asymmetric,0.3,-8.079864146804354
10,asymmetric,0.6,-4.665224828136199
10,asymmetric,1,-5.3033448462356905
10,asymmetric,symmetric,-4.103123997604418
